,name,type,category,price,datakey,url
2008,Tài liệu giải bài tập SGK Tiếng Anh lớp 6 - Friends Plus - (Bản word).zip,tieng-anh-6,tieng-anh,299000,11211,https://drive.google.com/drive/folders/1MCu2zroUDw2fI6Arzdmj0tS5ijQpAd6R?usp=drive_link
2009,- BỘ DẠY THÊM TIẾNG ANH 6 - i-LEARN SMART WORLD - CÓ NGHE CẢ NĂM (Word).rar,tieng-anh-6,tieng-anh,199000,10769,https://drive.google.com/drive/folders/1AsmSzDwpLSkBSAb5TjD8fBebFp5ff3rW?usp=drive_link
2010,- BỘ DẠY THÊM KHÔNG NGHE TIẾNG ANH 6 - i-LEARN SMART WORLD CẢ NĂM (word).rar,tieng-anh-6,tieng-anh,150000,10768,https://drive.google.com/drive/folders/1TI4vVcO0o6kSEqxLsUoblziiDzEGL2ng?usp=drive_link
2011,Ngữ Pháp và Bài Tập Thực Hành Tiếng Anh i-Learn Smart World 6 (Nguyễn Hoàng Thanh Ly) - File word.rar,tieng-anh-6,tieng-anh,199000,10767,https://drive.google.com/drive/folders/1vOL3za97CoC4edDJwNVYFbXwlLlCJm0V?usp=drive_link
2012,- BỘ ĐỀ KIỂM TRA GK1 GK2 HK1 HK2 - Có nghe kèm key chi tiết (Word).rar,tieng-anh-6,tieng-anh,150000,10766,https://drive.google.com/drive/folders/19wzX9m66mPPu7u-p4k_Hc3Ei10nWSP8X?usp=drive_link
2013,- Bộ đề kiểm tra tổng hợp cả năm 15p 45p CK i-learn Smart World 6 (Bản word có key).rar,tieng-anh-6,tieng-anh,150000,10765,https://drive.google.com/drive/folders/1c3CTPlj2P-4nVJm7aLwrOdgMFreVNJl9?usp=drive_link
2014,- BỘ TEST LUYỆN CHUYÊN SÂU TIẾNG ANH 6 - i-LEARN SMART WORLD CẢ NĂM (File word+key+nghe).rar,tieng-anh-6,tieng-anh,150000,10764,https://drive.google.com/drive/folders/1AXNwDEhXVgJ-pm7u6LVpOI08Fn5KDdXv?usp=drive_link
2015,- Bộ Test theo Unit Smart World 6 (Dạng 50 Câu có key + file nghe) - File word.zip,tieng-anh-6,tieng-anh,150000,10763,https://drive.google.com/drive/folders/1YwYSTJK0VmECxPdj1snVZUjt4EfvW6IH?usp=drive_link
2016,Đề cương + Đề kiểm tra Cuối Kì 1 I-learn Smart World (Word).rar,tieng-anh-6,tieng-anh,99000,10762,https://drive.google.com/drive/folders/1Kd7pa0352Ce-JYabGoHRWoldZph3mvRi?usp=drive_link
2018,VOCAB GRADE 6 - GLOBAL SUCCESS - Từ vựng chuyên sâu (File word + Key).rar,tieng-anh-6,tieng-anh,199000,10061,https://drive.google.com/drive/folders/1tv68GmjzRbmi0pTLS5y3jApzpiTivXe-?usp=sharing
2019,CHUYÊN ĐỀ BỒI DƯỠNG NGỮ PHÁP THI HSG TIẾNG ANH 6 (356 trang file word).zip,tieng-anh-6,tieng-anh,199000,9816,https://drive.google.com/drive/folders/1kYuAQUoXvVyccUHwm98-gSTkJrGa-bRt?usp=sharing
2020,BỘ GIÁO ÁN TIẾNG ANH 6 GLOBAL SUCCESS ĐẦY ĐỦ 2 HỌC KÌ (KH GD-PPCT).rar,tieng-anh-6,tieng-anh,299000,9813,https://drive.google.com/drive/folders/1PHCWR3GXlA9jLrVvtFzBBPEkmpHQBGgb?usp=sharing
2023,Giáo án Tiếng Anh 6 - Bộ iLearn Smart World.zip,tieng-anh-6,tieng-anh,199000,3203,https://drive.google.com/drive/u/0/folders/19V-dZ57Tav6Dj_u9lZOKSIDXueANeYts
2024,Giáo án tiếng Anh 6 Global Success kết nối tri thức - cả năm.doc,tieng-anh-6,tieng-anh,80000,3202,https://drive.google.com/file/d/1M5Uf8g8iEV3YaNf69vgNWgV8bDi4gJR4/view?usp=sharing
2025,GIÁO ÁN GLOBAL SUCCESS kết nối tri thức TIẾNG ANH 6.docx,tieng-anh-6,tieng-anh,80000,3201,https://drive.google.com/file/d/1Ds-PJMjUALyfwAplfr_o1tqA0GEv-Rxc/view?usp=sharing
2026,[HSG] - Tài liệu bồi dưỡng HSG Tiếng Anh 6 - Linh Đan.zip,tieng-anh-6,tieng-anh,150000,1412,https://drive.google.com/drive/folders/1g0s6vtmtEnQN59CGvU-naxKEB385ffid?usp=sharing
2027,[Chuyên đề] - CĐ ANH 6 - Soạn bởi nhóm giáo viên chuyên Sư Phạm (Sách mới có file nghe).zip,tieng-anh-6,tieng-anh,199000,1411,https://drive.google.com/drive/folders/1fT4Ju-wqyXEmRzUB07hNi3PlY0JEpRZL?usp=sharing
2028,[Bài tập] - Bài tập Tiếng Anh 6 chương trình thí điểm kì 2 - Mai Lan Hương (Sách mới).zip,tieng-anh-6,tieng-anh,99000,1410,https://drive.google.com/drive/folders/1D-gwnWCF_eQw_WLyHyCDiktrkPWF5bW2?usp=sharing
2029,[Bài tập] - Bài tập Tiếng Anh 6 chương trình thí điểm - Vũ Thị Phượng (Sách mới).doc,tieng-anh-6,tieng-anh,99000,1409,https://drive.google.com/file/d/1xdaGY7mpfy2Gjb5FWcqZBGmvz-JEQISY/view?usp=sharing
2030,[Bài tập] - Bài tập Tiếng Anh 6 chương trình thí điểm - Tống Thị Ngọc Huyền (Sách mới).zip,tieng-anh-6,tieng-anh,99000,1408,https://drive.google.com/drive/folders/15AJmCDNEwglVszTtRvhW7yKVYWyORPN_?usp=sharing
2031,[Bài tập] - Bài tập nâng cao Tiếng Anh 6 chương trình thí điểm - Nguyễn Thị Chi (Sách mới).zip,tieng-anh-6,tieng-anh,99000,1407,https://drive.google.com/drive/folders/1kmCxHbaKMajeWY28e_NPtyPxh3UppWO0?usp=sharing
2032,[Giáo án] - Giáo án Tiếng Anh theo chương trình chuẩn Lớp 6 (Sách Cũ).doc,tieng-anh-6,tieng-anh,20000,1406,https://drive.google.com/file/d/1NgEFHfMqstZljN8wpMw9syIGX59qGzrM/view?usp=sharing
2033,[Bài tập] - Bài tập Tiếng Anh 6 chương trình chuẩn - Mai Lan Hương (Sách cũ).zip,tieng-anh-6,tieng-anh,99000,1405,https://drive.google.com/drive/folders/1dTAhm59RPsqF9twb8rhz35YLco7rf_Vt?usp=sharing
2034,BÀI GIẢNG POWER POINT CẢ NĂM - TIẾNG ANH 5 - i-Learn Smart Start,tieng-anh-5,tieng-anh,399000,27921,https://drive.google.com/drive/u/0/folders/1zkSGj4OHRbkvmeGy5G32uB36vroFs3Eq
2035,KHBD GIÁO ÁN WORD CHÍNH KHÓA - TIẾNG ANH 5 GLOBAL SUCCESS - CẢ NĂM (CV2345 - 2 Cột).zip,tieng-anh-5,tieng-anh,399000,21734,https://drive.google.com/drive/u/0/folders/1qxVEdrRLscOS40s2lX2Bs1pxG1UvtMGA
2036,BÀI TẬP BỔ TRỢ - TIẾNG ANH 5 - GLOBAL SUCCESS - Bùi Văn Vinh - Cả Năm (Bản word full key),tieng-anh-5,tieng-anh,399000,20216,https://drive.google.com/drive/u/0/folders/1riJljT_AZTcgrQ-DCs6Teh5G80POImKK
2037,Gói Bài Tập Bổ Trợ Cả Năm - Tiếng Anh Lớp 5 - I-LEARN SMART START (WORD+AUDIO),tieng-anh-5,tieng-anh,399000,20097,https://drive.google.com/drive/u/0/folders/1Dv6LRysXns7OH73STo2Tcy_A93droSOq
2038,Gói Bài Tập Bổ Trợ Cả Năm - Tiếng Anh Lớp 5 - Global Success (WORD+AUDIO),tieng-anh-5,tieng-anh,399000,20001,https://drive.google.com/drive/u/0/folders/1RCo9gU--XQioDlTEG7hA_y9-maLDbwzJ
2039,BÀI TẬP BỔ TRỢ TIẾNG ANH 5 - GLOBAL SUCCESS - HK1 - BỘ 1 (Bản word có nghe),tieng-anh-5,tieng-anh,299000,19981,https://drive.google.com/drive/u/0/folders/1dD5ZADd0zjjtPGOcdbq9sF0n8djr6gyB
2040,"BÀI GIẢNG POWER POINT CẢ NĂM - TIẾNG ANH 5 - GLOBAL SUCCESS (Theo lesson, tiết học, chuẩn đẹp)",tieng-anh-5,tieng-anh,499000,19922,https://drive.google.com/drive/u/0/folders/1Xw36G6yeBgzkj0hZG9eoi08H6GLSu7t7
2041,GIÁO ÁN MINH HỌA TIẾNG ANH 5 - GLOBAL SUCCESS (CV 2345 - 3 cột) - Bản word.zip,tieng-anh-5,tieng-anh,250000,20244,https://drive.google.com/drive/u/0/folders/1RgdXL8HEhlvj8M8zU9MN61J5FFPKHToE
2042,BÀI GIẢNG POWER POINT CẢ NĂM - TIẾNG ANH 5 - SÁCH THÍ ĐIỂM,tieng-anh-5,tieng-anh,399000,12719,https://drive.google.com/drive/u/0/folders/1dKXQRTrdfAUcPvOYsLpcKQ42QCrzV1Xw
2043,BÀI TẬP BỔ TRỢ I-LEARN SMART START Lớp 5 file word.rar,tieng-anh-5,tieng-anh,150000,10744,https://drive.google.com/drive/folders/1z1XLpCi8-19CFY414SHkrWHhD1N7xnOO?usp=sharing
2044,Power Point i-learn smart start - Tiếng anh 5.rar,tieng-anh-5,tieng-anh,199000,10743,https://drive.google.com/drive/folders/1E7ElYD81qBddzbJr7zM_WaJHHE7xh40_?usp=sharing
2045,TÀI LIỆU CHUYÊN SÂU TIẾNG ANH 5.docx,tieng-anh-5,tieng-anh,150000,10517,https://drive.google.com/file/d/1YZn8vwyQqfaYW093QqmmjCgach0rtOxJ/view?usp=sharing
2046,BỘ 35 ĐỀ LUYỆN THI ANH VĂN VÀO LỚP 6 CHUYÊN.zip,tieng-anh-5,tieng-anh,199000,10515,https://drive.google.com/drive/folders/1IqW-FTpHVWF6OqMtAHdQsGTPUJmLDsRQ?usp=sharing
2047,Bài tập bổ trợ cơ bản và nâng cao Tiếng Anh 4 - Global Success - HỌC KÌ 2 (Bản word có nghe).zip,tieng-anh-4,tieng-anh,199000,15671,https://drive.google.com/drive/u/0/folders/1bi_MLFSIkR68v-sywAF7aUJhd1h6GMIk
2048,"BÀI GIẢNG POWER POINT CẢ NĂM - TIẾNG ANH 4 - GLOBAL SUCCESS (Theo lesson, tiết học, chuẩn đẹp)",tieng-anh-4,tieng-anh,499000,12607,https://drive.google.com/drive/folders/1xNhwnGeQJ6JY20M2WQyS5EKWgZS4nl9n
